MM/YY,NINO1+2,NINO2,NINO3.4,NINO4
Feb 2017,81.03°F,80.44°F,80.29°F,82.42°F
Mar 2017,83.17°F,81.79°F,81.39°F,82.71°F
Apr 2017,79.70°F,82.63°F,82.71°F,83.52°F
May 2017,76.93°F,81.66°F,82.94°F,84.16°F
Jun 2017,73.67°F,80.08°F,82.58°F,84.70°F
Jul 2017,70.74°F,78.84°F,81.64°F,84.24°F
Aug 2017,69.04°F,77.41°F,80.33°F,83.80°F
Sep 2017,67.77°F,76.10°F,79.59°F,83.46°F
Oct 2017,67.64°F,76.44°F,79.52°F,83.41°F
Nov 2017,68.90°F,75.65°F,78.64°F,82.98°F
Dec 2017,70.92°F,75.42°F,78.30°F,82.51°F
Jan 2018,74.80°F,76.26°F,78.57°F,82.44°F
Feb 2018,78.10°F,78.06°F,78.91°F,82.11°F
Mar 2018,78.53°F,79.57°F,79.70°F,82.47°F
Apr 2018,76.80°F,80.74°F,81.16°F,83.41°F
May 2018,75.33°F,80.73°F,81.99°F,84.06°F
Jun 2018,72.46°F,80.28°F,82.15°F,84.34°F
Jul 2018,70.77°F,79.05°F,81.54°F,84.22°F
Aug 2018,69.21°F,77.65°F,80.92°F,84.49°F
Sep 2018,69.08°F,77.52°F,80.78°F,84.43°F
Oct 2018,70.07°F,78.53°F,81.73°F,85.21°F
Nov 2018,72.32°F,79.02°F,81.84°F,85.03°F
Dec 2018,74.61°F,79.18°F,81.57°F,84.94°F
Jan 2019,77.58°F,79.54°F,81.03°F,84.31°F
Feb 2019,80.19°F,80.76°F,81.39°F,84.09°F
Mar 2019,80.80°F,82.31°F,82.78°F,84.36°F
Apr 2019,79.16°F,82.78°F,83.35°F,84.43°F
May 2019,76.57°F,82.17°F,83.53°F,84.94°F
