Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Month,Year,Date,Total CPI-Adjusted Cost (Billions of Dollars)
North Central Severe Weather,Severe Storm,2011-07-01,2011-07-01,1216.6,0,,,2011-07-01,1.2166
Rockies and Midwest Derecho,Severe Storm,2011-07-10,2011-07-11,1692.1,2,,,2011-07-10,1.6921
Midwest/Southeast Severe Weather,Severe Storm,2011-08-17,2011-08-18,1577.4,0,,,2011-08-17,1.5774000000000001
Hurricane Irene,Tropical Cyclone,2011-08-26,2011-08-28,18486.7,45,August,2011,2011-08-27,18.4867
Southern Plains/Southwest Drought and Heat Wave,Drought,2011-03-01,2011-08-31,16870.5,95,June,2011,2011-05-31,16.8705
Tropical Storm Lee,Tropical Cyclone,2011-09-01,2011-09-05,3442.1,21,September,2011,2011-09-03,3.4421
Northeastern Winter Storm,Winter Storm,2011-10-29,2011-10-30,1267.3,1,October,2011,2011-10-29,1.2672999999999999
"Texas, New Mexico, Arizona Wildfires",Wildfire,2011-06-01,2011-11-30,2494.6,5,August,2011,2011-08-31,2.4945999999999997
Southeast/Ohio Valley Tornadoes,Severe Storm,2012-03-02,2012-03-03,4223.9,42,March,2012,2012-03-02,4.2238999999999995
Texas Tornadoes,Severe Storm,2012-04-02,2012-04-03,1370.6,0,April,2012,2012-04-02,1.3705999999999998
Midwest Tornadoes,Severe Storm,2012-04-13,2012-04-14,1516.9,6,April,2012,2012-04-13,1.5169000000000001
Midwest/Ohio Valley Severe Weather,Severe Storm,2012-04-28,2012-05-01,4423.1,1,April,2012,2012-04-29,4.423100000000001
Southern Plains/Midwest/Northeast Severe Weather,Severe Storm,2012-05-25,2012-05-30,3110.0,1,May,2012,2012-05-27,3.11
Rockies/Southwest Severe Weather,Severe Storm,2012-06-06,2012-06-12,3507.0,0,June,2012,2012-06-09,3.507
Plains/East/Northeast Derecho,Severe Storm,2012-06-29,2012-07-02,3899.5,28,June,2012,2012-06-30,3.8995
Hurricane Isaac,Tropical Cyclone,2012-08-26,2012-08-31,3730.8,9,August,2012,2012-08-28,3.7308000000000003
Hurricane Sandy,Tropical Cyclone,2012-10-30,2012-10-31,87153.2,159,October,2012,2012-10-30,87.1532
Western Wildfires,Wildfire,2012-06-01,2012-11-30,2347.0,8,August,2012,2012-08-31,2.347
U.S. Drought/Heat Wave,Drought,2012-01-01,2012-12-31,41105.0,123,,,2012-07-01,41.105
Southern Severe Weather,Severe Storm,2013-02-24,2013-02-25,1235.5,1,February,2013,2013-02-24,1.2355
Southeast Severe Weather,Severe Storm,2013-03-18,2013-03-18,2686.6,1,March,2013,2013-03-18,2.6866
Midwest/Plains Severe Weather,Severe Storm,2013-04-07,2013-04-11,1920.6,1,April,2013,2013-04-09,1.9205999999999999
Illinois Flooding and Severe Weather,Flooding,2013-04-16,2013-04-19,1432.5,4,April,2013,2013-04-17,1.4325
Midwest/Plains/East Tornadoes,Severe Storm,2013-05-18,2013-05-22,3192.4,27,May,2013,2013-05-20,3.1924
Midwest/Plains/Northeast Tornadoes,Severe Storm,2013-05-27,2013-05-31,2412.1,10,May,2013,2013-05-29,2.4120999999999997
Midwest Severe Weather,Severe Storm,2013-08-06,2013-08-07,1385.8,0,August,2013,2013-08-06,1.3858
Colorado Flooding,Flooding,2013-09-10,2013-09-16,2006.3,9,September,2013,2013-09-13,2.0063
Ohio Valley Tornadoes,Severe Storm,2013-11-17,2013-11-17,1450.5,8,November,2013,2013-11-17,1.4505
Western/Plains Drought/Heat Wave,Drought,2013-03-01,2013-11-30,14075.3,53,July,2013,2013-07-16,14.075299999999999
